seconds_since_start,round_number,action
1.0475482,1,Shot fired
2.1115623,1,Shot fired
3.5571901,1,Shot fired
4.7116668,1,Shot fired
5.9739629,1,Shot fired
6.7899397,1,Shot fired
7.6580559,1,Shot fired
9.10845,1,Shot fired
10.0569459,1,Shot fired
10.9588678,1,Shot fired
11.8068535,1,Shot fired
12.6069707,1,Shot fired
13.4946011,1,Shot fired
14.3089054,1,Shot fired
15.1429153,1,Shot fired
16.0730485,1,Shot fired
17.2938541,1,Shot fired
19.4408547,1,Shot fired
21.890985,1,Shot fired
23.2236945,1,Shot fired
24.2226691,1,Shot fired
32.957076,1,Shot fired
33.8409649,1,Shot fired
35.2069675,1,Shot fired
36.1893554,1,Shot fired
37.1402778,1,Shot fired
37.9401228,1,Shot fired
