seconds_since_start,round_number,action
2.0670149,1,Shot fired
2.984285,1,Shot fired
3.782952,1,Shot fired
5.302781,1,Shot fired
5.3040309,1,Shot hit
6.3334054,1,Shot fired
6.3354057,1,Shot hit
7.2324507,1,Shot fired
7.2324507,1,Shot hit
8.0333864,1,Shot fired
8.0343874,1,Shot hit
8.4665489,1,Shot fired
8.4665489,1,Shot hit
9.4165044,1,Shot fired
9.9833626,1,Shot fired
10.4341188,1,Shot fired
10.9183784,1,Shot fired
11.5659982,1,Shot fired
12.3494344,1,Shot fired
12.9372112,1,Shot fired
13.9659355,1,Shot fired
14.65088,1,Shot fired
15.3998794,1,Shot fired
16.0516306,1,Shot fired
17.0659048,1,Shot fired
17.8682176,1,Shot fired
18.5664995,1,Shot fired
19.3668682,1,Shot fired
20.1015458,1,Shot fired
20.8831819,1,Shot fired
21.5998733,1,Shot fired
22.5171946,1,Shot fired
22.8374334,1,Shot fired
23.3337189,1,Shot fired
23.6837846,1,Shot fired
28.8551678,1,Shot fired
30.284042,1,Shot fired
31.6339788,1,Shot fired
