timestamp,round,action
02-01-44,1,Shot hit
02-01-44,1,Shot hit
02-01-45,1,Shot hit
02-01-46,1,Shot hit
02-01-46,1,Shot hit
02-01-47,1,Shot hit
02-01-48,1,Shot hit
02-01-48,1,Shot hit
02-01-49,1,Shot hit
02-01-50,1,Shot hit
02-01-52,1,end round
