seconds_since_start,round_number,action
1.2401486,1,Shot fired
3.2559439,1,Shot fired
4.5721217,1,Shot fired
5.5715158,1,Shot fired
6.3378113,1,Shot fired
9.6055857,1,Shot fired
10.4238872,1,Shot fired
11.3092464,1,Shot fired
12.1893928,1,Shot fired
12.9545343,1,Shot fired
13.8556241,1,Shot fired
14.8054557,1,Shot fired
16.6220009,1,Shot fired
17.3057678,1,Shot fired
18.2386678,1,Shot fired
19.4887333,1,Shot fired
20.4222462,1,Shot fired
21.3219275,1,Shot fired
22.2214792,1,Shot fired
22.8884586,1,Shot fired
24.2556853,1,Shot fired
25.4060388,1,Shot fired
26.4214278,1,Shot fired
27.3213921,1,Shot fired
