seconds_since_start,round_number,action
1.2869807,1,Shot fired
2.1850057,1,Shot fired
3.068163,1,Shot fired
4.0178401,1,Shot fired
4.906479,1,Shot fired
5.6694818,1,Shot fired
6.4355805,1,Shot fired
7.0688577,1,Shot fired
7.9184931,1,Shot fired
8.6849015,1,Shot fired
9.4519219,1,Shot fired
10.2837181,1,Shot fired
11.7043085,1,Shot fired
12.63514,1,Shot fired
13.6025106,1,Shot fired
14.5046178,1,Shot fired
15.3177024,1,Shot fired
16.0857795,1,Shot fired
16.8372384,1,Shot fired
17.5188634,1,Shot fired
18.3518565,1,Shot fired
19.0385222,1,Shot fired
19.9029456,1,Shot fired
