seconds_since_start,round_number,action
183.2729746,1,end round
183.2985192,1,end round
183.3244965,1,end round
183.354929,1,end round
183.3817331,1,end round
183.4068299,1,end round
183.4337229,1,end round
183.4625772,1,end round
183.4974158,1,end round
183.5233031,1,end round
183.5491382,1,end round
183.5750748,1,end round
183.6032319,1,end round
183.6326384,1,end round
183.662277,1,end round
183.6916009,1,end round
183.7193374,1,end round
183.7493743,1,end round
183.7783461,1,end round
183.8061368,1,end round
183.8398367,1,end round
183.8683904,1,end round
183.8958282,1,end round
183.9267375,1,end round
183.9561236,1,end round
183.9883964,1,end round
184.01642,1,end round
184.0444725,1,end round
184.072337,1,end round
184.1013185,1,end round
184.1337619,1,end round
184.1635345,1,end round
184.1947099,1,end round
184.2247829,1,end round
184.2550452,1,end round
184.2869629,1,end round
184.3193207,1,end round
184.3485277,1,end round
184.3809031,1,end round
184.4093268,1,end round
184.4395063,1,end round
184.4670055,1,end round
184.4920315,1,end round
184.5250885,1,end round
184.5592549,1,end round
184.5856809,1,end round
184.6158575,1,end round
184.6573361,1,end round
184.7061457,1,end round
184.7386009,1,end round
184.7708128,1,end round
184.8015866,1,end round
184.8351036,1,end round
184.8750344,1,end round
184.912354,1,end round
184.9421733,1,end round
184.9720033,1,end round
185.0040967,1,end round
185.0374223,1,end round
185.0684619,1,end round
185.0998503,1,end round
185.1375789,1,end round
185.1705158,1,end round
185.2101053,1,end round
185.244401,1,end round
185.2753766,1,end round
185.3037641,1,end round
185.344878,1,end round
185.3818793,1,end round
185.4149106,1,end round
185.4451244,1,end round
185.4936576,1,end round
185.5240924,1,end round
185.5571347,1,end round
185.5953973,1,end round
185.6236933,1,end round
185.6585223,1,end round
185.6919689,1,end round
185.7231084,1,end round
185.755055,1,end round
185.7871516,1,end round
185.8184964,1,end round
185.8496959,1,end round
185.8868412,1,end round
185.9138405,1,end round
185.9420338,1,end round
185.970184,1,end round
186.0005029,1,end round
186.0286067,1,end round
186.0546746,1,end round
186.0797555,1,end round
186.1105087,1,end round
186.1435182,1,end round
186.1746835,1,end round
186.2060368,1,end round
186.2319544,1,end round
186.2589356,1,end round
186.2895297,1,end round
186.3236302,1,end round
186.3566574,1,end round
186.3882033,1,end round
186.4165402,1,end round
186.4476101,1,end round
186.4720829,1,end round
186.5008488,1,end round
186.5279336,1,end round
186.5553888,1,end round
186.5868598,1,end round
186.6158425,1,end round
186.6520858,1,end round
186.680341,1,end round
186.7117576,1,end round
186.7411138,1,end round
186.7689959,1,end round
186.7950469,1,end round
186.8224317,1,end round
186.8538078,1,end round
186.8836557,1,end round
186.912266,1,end round
186.940697,1,end round
186.9734495,1,end round
187.0060101,1,end round
187.0327044,1,end round
187.0656509,1,end round
187.096719,1,end round
187.1295355,1,end round
187.1648319,1,end round
187.1965147,1,end round
187.2357711,1,end round
187.2686238,1,end round
187.3158609,1,end round
187.3604253,1,end round
187.3990259,1,end round
187.4506606,1,end round
187.4933119,1,end round
187.5407324,1,end round
187.5821389,1,end round
187.6200312,1,end round
187.6588641,1,end round
187.7251278,1,end round
187.77707,1,end round
187.8195747,1,end round
187.8562702,1,end round
187.910113,1,end round
187.9466757,1,end round
187.9794283,1,end round
188.0137537,1,end round
188.0485356,1,end round
188.0937217,1,end round
188.1328022,1,end round
188.1744587,1,end round
188.2099838,1,end round
188.2665652,1,end round
188.3117946,1,end round
188.3625937,1,end round
188.404483,1,end round
188.4315566,1,end round
188.4628312,1,end round
188.5196162,1,end round
188.5675971,1,end round
188.6026907,1,end round
188.6598936,1,end round
188.7007853,1,end round
188.7406268,1,end round
188.770948,1,end round
188.8065989,1,end round
188.8427928,1,end round
188.8801135,1,end round
188.9262615,1,end round
188.9564459,1,end round
188.9839699,1,end round
189.0136331,1,end round
189.0445597,1,end round
189.0775838,1,end round
189.1091782,1,end round
189.1423605,1,end round
189.1753334,1,end round
189.2065976,1,end round
189.237284,1,end round
189.2671343,1,end round
189.293436,1,end round
189.3200408,1,end round
189.3526081,1,end round
189.3809277,1,end round
189.4091095,1,end round
189.4380717,1,end round
189.4640712,1,end round
189.493104,1,end round
189.5192724,1,end round
189.5471744,1,end round
189.5738343,1,end round
189.600472,1,end round
189.6332908,1,end round
189.6632327,1,end round
189.7002173,1,end round
189.7305104,1,end round
189.7638272,1,end round
189.80139,1,end round
189.8583444,1,end round
189.914709,1,end round
189.961107,1,end round
189.9992738,1,end round
190.0465923,1,end round
190.0913103,1,end round
190.1342545,1,end round
190.1762522,1,end round
190.2130116,1,end round
190.2386957,1,end round
190.265027,1,end round
190.2967579,1,end round
190.3322147,1,end round
190.3626454,1,end round
190.3879597,1,end round
190.4167319,1,end round
190.4537111,1,end round
190.4810787,1,end round
190.5081893,1,end round
190.5359224,1,end round
190.5650711,1,end round
190.6002066,1,end round
190.6539077,1,end round
190.6986489,1,end round
190.7509559,1,end round
190.7934023,1,end round
190.8409738,1,end round
190.8856659,1,end round
190.9256022,1,end round
190.9672816,1,end round
190.9970736,1,end round
191.0230584,1,end round
191.0515237,1,end round
191.0824359,1,end round
191.1193082,1,end round
191.152118,1,end round
191.2052104,1,end round
191.2570838,1,end round
191.3074287,1,end round
191.3544362,1,end round
191.3956669,1,end round
191.4406795,1,end round
191.4855346,1,end round
191.5182788,1,end round
191.5458837,1,end round
191.5821808,1,end round
191.6373445,1,end round
191.690208,1,end round
191.731867,1,end round
191.7651108,1,end round
191.8037099,1,end round
191.8485518,1,end round
191.894689,1,end round
191.9364953,1,end round
191.9693673,1,end round
192.0008345,1,end round
192.0291019,1,end round
192.0552421,1,end round
192.087174,1,end round
192.1143199,1,end round
192.1435017,1,end round
192.1734944,1,end round
192.2008826,1,end round
192.23046,1,end round
192.2593143,1,end round
192.2862234,1,end round
192.3133134,1,end round
192.3429858,1,end round
192.3756706,1,end round
192.4079926,1,end round
192.4392907,1,end round
192.4711195,1,end round
192.5018898,1,end round
192.5339145,1,end round
192.5611064,1,end round
192.5870674,1,end round
192.6128894,1,end round
192.6487274,1,end round
192.6780341,1,end round
192.7078655,1,end round
192.7369131,1,end round
192.772132,1,end round
192.7988741,1,end round
192.8265473,1,end round
192.8580763,1,end round
192.8905213,1,end round
192.9307682,1,end round
192.9607417,1,end round
193.0027189,1,end round
193.0386229,1,end round
193.0735,1,end round
193.1073378,1,end round
193.136846,1,end round
193.1778607,1,end round
193.2351152,1,end round
193.2670386,1,end round
193.3191621,1,end round
193.3618531,1,end round
193.4003511,1,end round
193.4614448,1,end round
193.500338,1,end round
193.5353379,1,end round
193.5735126,1,end round
193.6074578,1,end round
193.6451604,1,end round
193.6973716,1,end round
193.729516,1,end round
193.7570141,1,end round
193.7837815,1,end round
193.8153034,1,end round
193.8462348,1,end round
193.878283,1,end round
193.9148512,1,end round
193.9552166,1,end round
193.9812837,1,end round
194.012193,1,end round
194.0459163,1,end round
194.083201,1,end round
194.136998,1,end round
194.184735,1,end round
194.2276688,1,end round
194.2584673,1,end round
194.2896866,1,end round
194.3173887,1,end round
194.344709,1,end round
194.3791712,1,end round
194.410383,1,end round
194.4434495,1,end round
194.4745446,1,end round
194.5089337,1,end round
194.5358505,1,end round
194.568688,1,end round
194.6034429,1,end round
194.6395877,1,end round
194.6738153,1,end round
194.7027289,1,end round
194.7330541,1,end round
194.7688545,1,end round
194.7995374,1,end round
194.8307242,1,end round
194.8634408,1,end round
194.9011709,1,end round
194.9391264,1,end round
194.9650765,1,end round
194.9981371,1,end round
195.0291575,1,end round
195.0588528,1,end round
195.0980605,1,end round
195.1271094,1,end round
195.1541016,1,end round
195.185756,1,end round
195.217129,1,end round
195.2542744,1,end round
195.2807544,1,end round
195.3084355,1,end round
195.3352978,1,end round
195.3704419,1,end round
195.4025915,1,end round
195.4359632,1,end round
195.4698212,1,end round
195.4977413,1,end round
195.532943,1,end round
195.5638577,1,end round
195.5916587,1,end round
195.6199099,1,end round
195.6459441,1,end round
195.677727,1,end round
195.7037985,1,end round
195.7308044,1,end round
195.7598113,1,end round
195.7903642,1,end round
195.8185725,1,end round
195.8479458,1,end round
195.8768096,1,end round
195.915147,1,end round
195.9437788,1,end round
195.9774555,1,end round
196.0055338,1,end round
196.0336978,1,end round
196.071025,1,end round
196.0978436,1,end round
196.1268306,1,end round
196.1620607,1,end round
196.1941166,1,end round
196.231555,1,end round
196.2573006,1,end round
196.28494,1,end round
196.317083,1,end round
196.3568794,1,end round
196.3904887,1,end round
196.4191158,1,end round
196.4466215,1,end round
196.4724828,1,end round
196.5011627,1,end round
196.5310227,1,end round
196.5565941,1,end round
196.5834513,1,end round
196.6085983,1,end round
196.6388494,1,end round
196.6678139,1,end round
196.6959173,1,end round
196.7218632,1,end round
196.7488457,1,end round
196.7840741,1,end round
196.8118725,1,end round
196.8398326,1,end round
196.8693987,1,end round
196.9013717,1,end round
196.9356694,1,end round
196.9646426,1,end round
196.9917736,1,end round
197.0207559,1,end round
197.0521045,1,end round
197.2328467,1,end round
197.3587288,1,end round
197.4355404,1,end round
197.5098647,1,end round
197.5471993,1,end round
197.5947387,1,end round
197.6406974,1,end round
197.6826586,1,end round
197.7187063,1,end round
197.7587108,1,end round
197.7883224,1,end round
197.8217606,1,end round
197.8532664,1,end round
197.8808821,1,end round
197.9116189,1,end round
197.9506794,1,end round
197.9813263,1,end round
198.0112411,1,end round
198.0400341,1,end round
198.0941381,1,end round
198.1256518,1,end round
63812593178.0232,1,end round
63812593178.3913,1,end round
63812593178.4329,1,end round
