seconds_since_start,round_number,action
180.3153292,1,end round
180.3987506,1,end round
180.4424305,1,end round
180.4715453,1,end round
180.5037848,1,end round
180.5327163,1,end round
180.5598161,1,end round
180.585492,1,end round
180.6152744,1,end round
180.6447443,1,end round
180.670396,1,end round
180.6979869,1,end round
180.7253464,1,end round
180.7507452,1,end round
180.7770521,1,end round
180.8041507,1,end round
180.835799,1,end round
180.864555,1,end round
180.8948241,1,end round
180.922431,1,end round
180.9541308,1,end round
180.9907392,1,end round
181.01782,1,end round
181.0438259,1,end round
181.0685529,1,end round
181.0997541,1,end round
181.1290116,1,end round
181.1542,1,end round
181.1799234,1,end round
181.2049639,1,end round
181.238228,1,end round
181.2666364,1,end round
181.2933319,1,end round
181.3191621,1,end round
181.3469195,1,end round
181.3810689,1,end round
181.4106223,1,end round
181.4366223,1,end round
181.4625998,1,end round
181.4924144,1,end round
181.5230069,1,end round
181.5517571,1,end round
181.5784134,1,end round
181.606256,1,end round
181.6395964,1,end round
181.6739499,1,end round
181.7007151,1,end round
181.7268249,1,end round
181.7553928,1,end round
181.7829158,1,end round
181.8167076,1,end round
181.8483047,1,end round
181.8750835,1,end round
181.9011201,1,end round
181.9267531,1,end round
181.9549703,1,end round
181.9870877,1,end round
182.0151701,1,end round
182.0438866,1,end round
182.0707691,1,end round
182.1010223,1,end round
182.1279197,1,end round
182.1559564,1,end round
182.182964,1,end round
182.2093576,1,end round
182.2402083,1,end round
182.2665719,1,end round
182.2920546,1,end round
182.3187523,1,end round
182.3455614,1,end round
182.3787614,1,end round
182.407554,1,end round
182.4403056,1,end round
182.4669519,1,end round
182.4977612,1,end round
182.5289953,1,end round
182.5539855,1,end round
182.5810129,1,end round
182.6084891,1,end round
182.6414502,1,end round
182.6702014,1,end round
182.6977823,1,end round
182.7235324,1,end round
182.7517149,1,end round
182.7824935,1,end round
182.8096114,1,end round
182.8383182,1,end round
182.8645637,1,end round
182.8901233,1,end round
182.9168266,1,end round
182.9437591,1,end round
182.9741037,1,end round
183.0013877,1,end round
183.0270607,1,end round
183.052025,1,end round
183.0805264,1,end round
183.1110298,1,end round
183.1401301,1,end round
183.1662121,1,end round
183.1912141,1,end round
183.2204732,1,end round
183.2478607,1,end round
