seconds_since_start,round_number,action
1.2086238,1,Shot fired
2.8873908,1,Shot fired
3.7528056,1,Shot fired
4.7033055,1,Shot fired
5.4374889,1,Shot fired
6.2035064,1,Shot fired
6.9866925,1,Shot fired
7.6528721,1,Shot fired
8.520612,1,Shot fired
9.053482,1,Shot fired
9.5870613,1,Shot fired
9.5880606,1,Shot hit
10.2868965,1,Shot fired
10.2888979,1,Shot hit
10.787554,1,Shot fired
10.7885541,1,Shot hit
11.1545217,1,Shot fired
11.1550269,1,Shot hit
11.4869419,1,Shot fired
11.4869419,1,Shot hit
11.8206862,1,Shot fired
11.8216854,1,Shot hit
12.1371699,1,Shot fired
12.1381703,1,Shot hit
12.4867166,1,Shot fired
12.4877169,1,Shot hit
12.8368004,1,Shot fired
12.837801,1,Shot hit
13.1702119,1,Shot fired
