seconds_since_start,round_number,action
1.4329341,1,Shot fired
2.4516317,1,Shot fired
3.1218463,1,Shot fired
4.4694271,1,Shot fired
5.9024878,1,Shot fired
5.9034907,1,Shot hit
6.7038854,1,Shot fired
6.7048852,1,Shot hit
7.4372548,1,Shot fired
7.4382542,1,Shot hit
8.1873326,1,Shot fired
8.1883331,1,Shot hit
8.9200477,1,Shot fired
8.9215527,1,Shot hit
9.4870919,1,Shot fired
9.4880918,1,Shot hit
10.0708622,1,Shot fired
10.6873036,1,Shot fired
11.1706713,1,Shot fired
11.6200193,1,Shot fired
11.9531521,1,Shot fired
12.2707344,1,Shot fired
12.5864466,1,Shot fired
12.9030767,1,Shot fired
13.2370679,1,Shot fired
13.5698675,1,Shot fired
13.9361796,1,Shot fired
14.7040061,1,Shot fired
15.6700086,1,Shot fired
16.2694541,1,Shot fired
17.4869292,1,Shot fired
18.2206753,1,Shot fired
18.9362956,1,Shot fired
19.5869654,1,Shot fired
21.7869891,1,Shot fired
22.5360879,1,Shot fired
